Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
"Riga Gold Fried Sprats in Tomato Sauce, 240g",3,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,Yes,Tomato,No,No,Unstated,240g,8.47 oz,No,No,No,No,No,Yes,No,Yes,No,None,3,370,16,
"Riga Gold Sardines in Canola Oil, 240g",4,Rapeseed Oil,Sardines,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,240g,8.47 oz,No,No,No,No,No,No,No,No,No,OU,3,450,20,
"Riga Gold Smoked Sprats in Oil 10/12, 160g",3.5,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,160g,5.64 oz,Yes,No,No,No,No,No,No,No,No,OU,2,320,14,
"Riga Gold Smoked Sprats in Oil 16/20, 160g, clear top",3.5,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,160g,5.64 oz,Yes,No,No,No,No,No,No,No,No,None,2,290,13,
"Riga Gold Smoked Sprats in Oil 9/11, 240g",4.5,Rapeseed Oil,Sprats,?,Latvia,Riga Gold,Yes,No,None,No,No,Unstated,240g,8.47 oz,Yes,No,No,No,No,No,No,No,No,OU,3,320,14,
Rizzoli Anchovy Fillets in Extra Virgin Olive Oil,10.5,Extra Virgin Olive Oil,Anchovies,,Italy,Rizzoli,Yes,No,None,Yes,Yes,Unstated,90g,3.17oz,No,No,No,No,No,No,No,No,No,None,3,852,37,
Rizzoli Anchovy Fillets in Spicy Sauce,9.5,Extra Virgin Olive Oil,Anchovies,,Italy,Rizzoli,Yes,Yes,"Mustard, spices, tuna, vinegar",Yes,Yes,Unstated,90g,3.17oz,No,No,No,No,No,No,No,No,No,None,6,480,21,
Rizzoli Anchovy Paste,5,Olive Oil,Anchovies,,Italy,Rizzoli,Yes,No,None,Yes,Yes,NA,60g,2.12oz,No,No,No,No,No,No,No,No,No,None,4,1040,45,
Rügen Fisch Herring Fillets in Horseradish Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Horseradish,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,No,Yes,No,No,None,2,300,13,
Rügen Fisch Herring Fillets in Hot Tomato Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,No,Unstated,200g,7.05 oz,No,No,No,No,Yes,Yes,No,No,No,None,2,290,13,
Rügen Fisch Herring Fillets in Mushroom Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Mushroom,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,380,17,
Rügen Fisch Herring Fillets in Mustard Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Mustard,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,No,No,No,No,None,2,520,23,
Rügen Fisch Herring Fillets in Paprika Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,Yes,Yes,Yes,No,None,2,400,17,
Rügen Fisch Herring Fillets in Tomato Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,Yes,No,No,No,None,2,290,13,
Rügen Fisch Herring Fillets in White Wine Sauce,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,White Wine,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,400,17,
Rügen Fisch Mackerel Fillets in Tomato Sauce,5,Rapeseed Oil,Mackerel,Scomber scombrus,Germany,Rügen Fisch,Yes,Yes,Tomato,Yes,Yes,Unstated,200g,7.05 oz,No,No,No,No,No,Yes,No,No,No,None,2,220,10,
Rügen Fisch Salmon Fillets (Skinless and Boneless) in Water,6.5,Water,Salmon,Salmo salar,Germany,Rügen Fisch,Yes,No,None,Yes,Yes,Unstated,175g,6.17 oz,No,No,No,No,No,No,Possible Traces,Possible Traces,No,None,2,400,25,
Rügen Fisch Scomber Mix (Mackerel and Vegetables),3,Rapeseed Oil,Mackerel,Scomber scombrus,Germany,Rügen Fisch,Yes,Yes,"Bell Pepper, Cucumber",Yes,Yes,NA,120g,4.23 oz ,No,No,No,No,No,Yes,Possible Traces,Yes,No,None,2,310,13,
Rügen Fisch Smoked Herring Fillets in Canola Oil and Own Juice,3.5,Rapeseed Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,No,None,Yes,No,Unstated,190g,6.7 oz,Yes,No,No,No,No,No,No,No,No,None,2,170,7,
"Rügen Fisch Smoked Herring Fillets with Pepper, in Brine and Own Juice",3.5,Water,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Pepper,Yes,No,Unstated,200g,7.05 oz,Yes,No,No,No,No,No,No,No,No,None,2,180,8,
Rügen Fisch Herring Fillets in Dill-Herb Sauce,3.5,Canola Oil,Herring,Clupea harengus,Germany,Rügen Fisch,Yes,Yes,Dill Cream,Yes,Yes,Unstated,200g,7.05oz,No,No,No,No,No,No,Yes,No,No,None,2,400,17,
Rügen Fisch Smoked Kieler Sprats,4,Rapeseed Oil,Sprats,Sprattus sprattus,Germany,Rügen Fisch,Yes,No,None,No,No,Unstated,110g,3.88 oz,Yes,No,No,No,No,No,No,No,No,None,1,230,10,
Santa Catarina Tuna Fillets in Mediterranean Sauce,11,None,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Mediterreanean,NA,NA,4,120g,4.2 oz,No,No,No,Yes,Yes,Yes,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Azorean Pepper,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Azorean Pepper,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
Santa Catarina Tuna Fillets in Olive Oil and Basil,11,Olive Oil,"Tuna, Skipjack",Katsuwonus pelamis,Portugal,Santa Catarina,Yes,No,Basil,NA,NA,4,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,270,11,
