Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
Don Gastronom Mackerel Fillets in Tomato Sauce 4/6,5.5,Sunflower Oil,Mackerel,Scomber australascos,Spain,Don Gastronom,Yes,No,Tomato,Yes,Yes,4/6,120g,3.8 oz,No,No,No,No,No,Yes,No,No,No,None,1,200,8,
Don Gastronom Octopus in Spiced Sunflower Oil,11.5,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Spiced/Spicy,NA,NA,Unstated,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,330,15,
Don Gastronom (La Narval) Octopus with Garlic in Sunflower Oil,11,Sunflower Oil,Octopus,Eledone cirrhosa,Spain,Don Gastronom,Yes,No,Garlic,NA,NA,NA,110g,3.8 oz,No,No,No,Yes,No,No,No,No,No,None,1,330,15,
Don Gastronom Razor Clams in Brine 6/8,14.5,Water,"Clam, Razor",Ensis siliqua,Spain,Don Gastronom,Yes,No,None,NA,NA,6/8,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,370,15,
Don Gastronom Small Sardines in Olive Oil 10/12,8,Olive Oil,Sardines,Sardina pilchardus,Spain,Don Gastronom,Yes,No,None,No,No,10/12,120g,4.23 oz,No,No,No,No,No,No,No,No,No,None,1,490,20,
Don Gastronom Squid Pieces in Ink Sauce,5.5,Sunflower Oil,Squid,Dosidicus gigas spp.,Spain,Don Gastronom,Yes,No,Ink,NA,NA,Unstated,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,300,15,
Don Gastronom Whole Stuffed Squids in Ink Sauce 4/6,14,Sunflower Oil,Squid,Loligo gahi,Spain,Don Gastronom,Yes,No,Ink,NA,NA,4/6,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,300,15,
Don Gastronom Yellowfin Tuna Loin in Olive Oil,9.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,None,NA,NA,NA,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,224,8,
Don Gastronom Yellowfin Tuna Ventresca in Olive Oil,15,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Don Gastronom,Yes,No,None,NA,NA,NA,110g,3.8 oz,No,No,No,No,No,No,No,No,No,None,1,224,8,
Eco Food Armenia Sturgeon in Water,12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,None,No,No,Unstated,240g,8.47 oz,No,No,No,No,No,No,No,No,No,None,?,?,?,
"Eco Food Armenia Sturgeon Liver, Natural (in water)",12,Water,Sturgeon,?,Armenia,Eco Food Armenia,Yes,No,None,NA,NA,Unstated,240g,8.47 oz,No,No,No,No,No,No,No,No,No,None,?,?,?,
Ekone Oyster Company Habanero Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85g,3 oz ,Yes,No,No,Yes,Yes,Yes,No,No,Yes,None,?,?,?,
Ekone Oyster Company Lemon Pepper Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85g,3 oz,Yes,No,Yes,Yes,No,No,No,No,Yes,None,?,?,?,
Ekone Oyster Company Original Smoked Oysters,13,Sunflower Oil,Oyster,Crassostrea gigas,USA,Ekone,Yes,Yes,None,NA,NA,Unstated,85g,3 oz,Yes,No,No,Yes,No,No,No,No,Yes,None,?,?,?,
El Capricho Anchovy Fillets in Extra Virgin Olive Oil,35,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,95g,3.35 oz,No,No,No,No,No,No,No,No,No,None,3,438,19,
"El Capricho Anchovy Fillets in Extra Virgin Olive Oil, L+ (10 Fillets)",32,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,95g,3.37 oz,No,No,No,No,No,No,No,No,No,None,2,438,19,
El Capricho Anchovy Fillets in Olive Oil,20,Olive Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,50g,1.76 oz,No,No,No,No,No,No,No,No,No,None,2,438,19,
El Capricho Anchovy Fillets in Sunflower Oil,20,Sunflower Oil,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,None,Yes,Yes,Unstated,50g,1.76 oz,No,No,No,No,No,No,No,No,No,None,2,438,19,
El Capricho Atun Rojo Salvaje (Bluefin Tuna) in Extra Virgin Olive Oil,28,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,El Capricho,Yes,No,None,Yes,Yes,NA,110g,3.88 oz,No,No,No,No,No,No,No,No,No,None,2,79,3,
El Capricho Bonito del Norte Fillets in EVOO,26,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,210g,7.41 oz,No,No,No,No,No,No,No,No,No,None,3,121,5,
El Capricho Laminas Bonito del Norte (Albacore slices),18,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,110g,3.88 oz,No,No,No,No,No,No,No,No,No,None,1.5,121,5,
El Capricho Sturgeon in EVOO,26,Extra Virgin Olive Oil,Sturgeon,Acipenser baerii,Spain,El Capricho,Yes,No,None,Yes,Yes,NA,110g,3.88 oz,No,No,No,No,No,No,No,No,No,None,2,209,9,
El Capricho Ventresca de Atun Yellowfin in Extra Virgin Olive Oil,30,Extra Virgin Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,El Capricho,Yes,No,None,NA,NA,NA,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1.5,143,6,
El Capricho Ventresca de Bonito del Norte,35,Sunflower Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,El Capricho,Yes,No,None,NA,NA,NA,110g,3.88 oz,No,No,No,No,No,No,No,No,No,None,1.5,143,6,
El Capricho SalMŭria,40,Anchovy Extract,Anchovy,Engraulis encrasicolus,Spain,El Capricho,Yes,No,Anchovy Extract,NA,NA,NA,99.2g,3.5oz,No,No,No,No,No,No,No,No,No,None,NA,,,
Espinaler Baby Sardines in Olive Oil 14/16,7,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,None,No,No,14/16,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,434,18,
"Espinaler Baby Sardines in Olive Oil 20/25, Premium Line",10,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,None,No,No,20/25,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,434,18,
Espinaler Baby Sardines in Spicy Olive Oil 10/12,7,Olive Oil,Sardines,Sardina pilchardus,Spain,Espinaler,Yes,No,Spiced/Spicy,No,No,10/12,115g,4 oz,No,No,No,No,Yes,No,No,No,No,None,1,434,18,
Espinaler Baby Squid in Spicy Olive Oil,15,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,Spiced/Spicy,NA,NA,Unstated,110g,4 oz,No,No,No,Yes,Yes,No,No,No,No,None,1,311,13,
"Espinaler Baby Squids in Olive Oil 6/8, Premium Line (chipirones en aceite de oliva)",18,Olive Oil,Squid,?,Spain,Espinaler,Yes,No,None,NA,NA,6/8,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,294,12,
"Espinaler Bonito del Norte (White Tuna) in Olive Oil, Classic Line",12.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,None,NA,NA,NA,120g,4 oz,No,No,No,No,No,No,No,No,No,None,2,220,9,
Espinaler Bonito del Norte in Escabeche,13.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,Escabeche,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,2,160,7,
Espinaler Clams in Brine 15/20,10,Water,"Clam, White","Venerupis rhomboides, Venerupis pullastra, Ruditapes decussatusx",Spain,Espinaler,Yes,No,None,NA,NA,15/20,115g,4 oz,No,No,No,No,No,No,No,No,No,None,2,550,23,
"Espinaler Cockles in Brine, Premium Line, 30/35",30,Water,Cockles,Cerastoderma edule,Spain,Espinaler,Yes,No,None,NA,NA,30/35,115g,4 oz,No,No,No,No,No,No,No,No,No,None,2,400,19,
"Espinaler Mussels in Escabeche, Premium Line, 6/8",20,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Escabeche,NA,NA,6/8,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,550,23,
Espinaler Mussels in Pickled Sauce (Mejillones in Escabeche),7,Sunflower Oil,Mussels,"Mytilus galloprovincialis, Mytilus edulis",Spain,Espinaler,Yes,No,Escabeche,NA,NA,13/18,115g,4 oz,No,No,No,No,No,No,No,No,No,None,2,190,8,
Espinaler Mussels in Spicy Escabeche (Mejillones en Escabeche Picante),7,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Espinaler,Yes,No,Spiced/Spicy Escabeche,NA,NA,Unstated,115g,4 oz,No,No,No,No,Yes,No,No,No,No,None,1,250,10,
Espinaler Octopus in Olive Oil,18,Olive Oil,Octopus,Octopus vulgaris,Spain,Espinaler,Yes,No,None,NA,NA,Unstated,111g,4 oz,No,No,No,No,No,No,No,No,No,None,1,332,13.8,
Espinaler Razor Clams (Trimmed) 4/6 Classic Line,12.5,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,None,NA,NA,4/6,110g,4 oz,No,No,No,No,No,No,No,No,No,None,1,726,32,
Espinaler Razor Clams in Brine 5/8 Classic Line,16.5,Water,"Clam, Razor",?,Spain,Espinaler,Yes,No,None,NA,NA,5/8,120g,4 oz,No,No,No,No,No,No,No,No,No,None,1,378,15.8,
Espinaler Scallops in Galician Sauce,9,Sunflower Oil,Scallop,Aequipecten opercularis,Spain,Espinaler,Yes,No,Galician,NA,NA,Unstated,110g,4 oz,No,No,No,No,No,Yes,No,No,No,None,1,543,22.6,
"Espinaler Spicy Baby Eels in Olive Oil, Premium Line",49,Olive Oil,Eel,?,Spain,Espinaler,Yes,No,Spiced/Spicy,NA,NA,NA,115g,4 oz,No,No,No,Yes,Yes,No,No,No,No,None,1,320,14,
Espinaler Ventresca Bonito del Norte (Albacore Belly),35,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Espinaler,Yes,No,None,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,2,220,9,
Espinaler Ventresca Yellowfin Tuna,17,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Espinaler,Yes,No,None,NA,NA,NA,110g,4 oz,No,No,No,No,No,No,No,No,No,None,1,193,8,
Espinaler Sauce (Salsa Espinaler),6/18,Vinegar,None,,Spain,Espinaler,No,No,"Vinegar, red pepper, spices",NA,NA,NA,92ml/750ml,,,,,,,,,,,,,,,
"Espinaler Sauce, Hotter with Cayenne",7,Vinegar,None,,Spain,Espinaler,No,No,"Vinegar, red pepper, cayenne pepper, spices",NA,NA,NA,92ml,,,,,,,,,,,,,,,
"Fangst Blåmusling No. 1, Limfjord Blue Mussels Marinated w/ Dill and Fennel Seeds in Cold Pressed Rapeseed (Canola) Oil",11,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,"Cider Vinegar, Dill, Fennel Seeds",NA,NA,Unstated,110g,3.9 oz,No,No,No,No,No,No,No,No,No,None,1.1,1600,?,
"Fangst Blåmusling No. 2, Limfjord Blue Mussels Smoked in Cold Pressed Rapeseed (Canola) Oil",11,Rapeseed Oil,Mussels,Mytilus edulis,Denmark,Fangst,Yes,No,None,NA,NA,Unstated,110g,3.9 oz,Yes,No,No,No,No,No,No,No,No,None,1.1,1500,?,
"Fangst Danish Freshwater Trout Smoked, with Juniper and Lemon Thyme",11.5,Rapeseed Oil,Trout,Oncorhynchus mykiss,Denmark,Fangst,Yes,No,"Juniper, Lemon Thyme",Yes,No,Unstated,110g,3.9 oz,Yes,No,No,No,No,No,No,No,No,None,1.1,1800,?,
Fangst Færøsk Laks (Faroe Islands Salmon) Flash Grilled in Cold Pressed Rapeseed (Canola) Oil,10,Rapeseed Oil,Salmon,Salmo salar,Denmark,Fangst,Yes,No,None,Yes,Yes,Unstated,110g,3.9 oz,No,Yes,No,No,No,No,No,No,No,None,1.1,900,?,
"Fangst Sprat no. 1 (Smoked, with Heather & Chamomile) Baltic Sea",9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Chamomile, Heather",No,No,Unstated,100g,3.5 oz,Yes,No,No,No,No,No,No,No,No,None,1,1400,?,
Fangst Sprat no. 2 (Smoked) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,None,No,No,Unstated,100g,3.5 oz,Yes,No,No,No,No,No,No,No,No,None,1,1400,?,
Fangst Sprat no. 4 (Allspice & Clove) Baltic Sea,9.5,Rapeseed,Sprat,Sprattus sprattus,Latvia,Fangst,Yes,No,"Allspice, Cloves",No,No,Unstated,100g,3.5 oz,No,No,No,No,No,No,No,No,No,None,1,1400,?,
Fangst Limfjord Hjertemusling (Cockles) in Cold Pressed Rapeseed (Canola) Oil,13,Rapeseed,Cockles,Cerastoderma edule,Denmark,Fangst,Yes,No,None,NA,NA,Unstated,110g,3.9oz,No,No,No,No,No,No,No,No,No,None,1,1200,,
Ferrigno La Bonne Mer Anchovies in Organic Extra Virgin Olive Oil,5.5,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,None,No,No,Unstated,69g,2.43 oz,No,No,No,No,No,No,No,No,Yes,None,?,1200,?,Per 100g
Ferrigno La Bonne Mer Fisherman's Anchovies,5.5,"Extra Virgin Olive Oil, Organic",Anchovy,Engraulis encrasicolus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,69g,2.43 oz,No,No,Yes,Yes,No,No,No,No,Yes,None,?,1200,?,Per 100g
Ferrigno La Bonne Mer Fisherman's Sardines,5.5,"Extra Virgin Olive Oil, Organic",Sardine,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,135g,4.76 oz,No,No,Yes,Yes,No,No,No,No,Yes,None,?,850,?,Per 100g
Ferrigno La Bonne Mer Lisettes (Small Whole Mackerel) in Organic Extra Virgin Olive Oil,6,"Extra Virgin Olive Oil, Organic",Mackerel,Scomber scombrus,France,Ferrigno,Yes,No,None,No,No,Unstated,135g,4.76 oz,No,No,No,No,No,No,No,No,Yes,None,?,210,?,Per 100g
Ferrigno La Bonne Mer Mixed Seafood (Méli-mélo) in Organic Extra Virgin Olive Oil with Aromatics and Spices,6.5,"Extra Virgin Olive Oil, Organic","Sardines, Mussels, Squid","Sardina pilchardus, Mytillus galloprovincialis or chilensis, Dosidicus gigas or Loligo vulgaris",France,Ferrigno,Yes,No,"Onion, Garlic, Parsley, Piment d'Espelette",No,No,Unstated,100g,3.52 oz,No,No,No,Yes,No,No,No,No,Yes,None,1,1200,?,Per 100g
"Ferrigno La Bonne Mer Mussels with Organic Olive Oil, Garlic and Parsley",6,"Extra Virgin Olive Oil, Organic",Mussels,Mytillus galloprovincialis or chilensis,France,Ferrigno,Yes,No,"Garlic, Parsley",NA,NA,Unstated,100g,3.52 oz,No,No,No,Yes,No,No,No,No,Yes,None,1,1200,?,Per 100g
Ferrigno La Bonne Mer Sardines à l'escabèche (Sardines in Escabeche),5.5,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Escabeche,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,830,?,Per 100g
"Ferrigno La Bonne Mer Sardines à la Bastiaise (w/ Lemon, Garlic and Parsley)",5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115g,4 oz,No,No,Yes,Yes,No,No,No,No,No,None,?,850,?,Per 100g
"Ferrigno La Bonne Mer Sardines à la Brousse (with Whey Cheese, Tomato, and Herbs)",5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Cheese, Tomato",No,No,Unstated,115g,4 oz,No,No,No,No,No,Yes,Yes,No,No,None,?,880,?,Per 100g
Ferrigno La Bonne Mer Sardines à la Camarguaise (w/ Chorizo sausage),5.5,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Chorizo sausage,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g
"Ferrigno La Bonne Mer Sardines à la Niçoise (w/ Peppers, Onions, Garlic)",5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Peppers, Onion, Garlic",No,No,Unstated,115g,4 oz,No,No,No,Yes,Yes,No,No,No,No,None,?,850,?,Per 100g
Ferrigno La Bonne Mer Sardines à la Ratatouille,5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Ratatouille (Tomato, Onion, Pepper, Eggplant, Zucchini)",No,No,Unstated,115g,4 oz,No,No,No,No,No,Yes,No,No,No,None,?,720,?,Per 100g
"Ferrigno La Bonne Mer Sardines à la Tapenade (Black Olives, Anchovies, Capers)",5.5,"Extra Virgin Olive Oil, Sunflower Oil",Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Tapenade (Black Olives, Anchovies, Capers)",No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,1510,?,Per 100g
"Ferrigno La Bonne Mer Sardines à la Tropezienne (w/ Tomato, Caper, Olive)",5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,"Tomato, Caper, Olive",No,No,Unstated,115g,4 oz,No,No,No,No,No,Yes,No,No,No,None,?,880,?,Per 100g
Ferrigno La Bonne Mer Sardines au Citron Confit (w/ Preserved Lemon and Green Olives),5.5,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Preserved Lemon, Olives",No,No,Unstated,115g,4 oz,No,No,Yes,No,No,No,No,No,No,None,?,850,?,Per 100g
Ferrigno La Bonne Mer Sardines aux Figatelli (Liver and Pork Sausage),5.5,Sunflower Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,Yes,Figatelli sausage,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,Yes,No,No,None,?,1100,?,Per 100g
Ferrigno La Bonne Mer Sardines in Butter with Fleur de Sel from Camargue,6,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,Yes,No,No,None,?,800,?,Per 100g
Ferrigno La Bonne Mer Sardines in Butter with Persillade (Garlic and Parsley),6,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Garlic, Parsley",No,No,Unstated,115g,4 oz,No,No,No,Yes,No,No,Yes,No,No,None,?,800,?,Per 100g
Ferrigno La Bonne Mer Sardines in Butter with Thyme de Provence,6,Butter,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Thyme de Provence,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,Yes,No,No,None,?,800,?,Per 100g
Ferrigno La Bonne Mer Sardines in Extra Virgin Olive Oil and Fleur de Sel,5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Fleur de Sel,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g
Ferrigno La Bonne Mer Squid Pieces in Organic Provencal Sauce,6,"Extra Virgin Olive Oil, Organic",Squid,Dosidicus gigas or Loligo vulgaris,France,Ferrigno,Yes,No,Tomato,NA,NA,Unstated,100g,3.52 oz,No,No,No,No,No,Yes,No,No,Yes,None,1,1800,?,Per 100g
Ferrigno Les Belles de Marseille Les Pitchounettes (Small Sardines) in Extra Virgin Olive Oil,5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g
Ferrigno Les Belles de Marseille Mackerel Fillets in Extra Virgin Olive Oil,5.5,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,None,Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,?,1040,?,Per 100g
Ferrigno Les Belles de Marseille Mackerel Fillets with Pastis,5.5,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,No,No,No,No,No,None,?,1040,?,Per 100g
Ferrigno Les Belles de Marseille Mackerel Fillets with Pepper and Chili,5.5,Extra Virgin Olive Oil,Mackerel,Scomber colias,France,Ferrigno,Yes,No,Spiced/Spicy,Yes,Yes,Unstated,125g,4.4 oz,No,No,No,No,Yes,No,No,No,No,None,?,1040,?,Per 100g
Ferrigno Les Belles de Marseille Sardines au Pastis,5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,Pastis (Anise flavored liquer),No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g
"Ferrigno Les Belles de Marseille Sardines au Pescadou (Stewed in Lemon, Garlic, Parsley)",5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,"Lemon, Garlic, Parsley",No,No,Unstated,115g,4 oz,No,No,Yes,Yes,No,No,No,No,No,None,?,850,?,Per 100g
Ferrigno Les Belles de Marseille Vintage Sardines (2016),5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,?,850,?,Per 100g
Ferrigno Les Belles de Marseille Vintage Sardines (2017),5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115g,5 oz,No,No,No,No,No,No,No,No,No,None,?,851,?,Per 100g
Ferrigno Les Belles de Marseille Vintage Sardines (2018),5.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Ferrigno,Yes,No,None,No,No,Unstated,115g,6 oz,No,No,No,No,No,No,No,No,No,None,?,852,?,Per 100g
Flower Moroccan Sardines in Tomato Sauce,3.5,Soybean Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,Tomato,No,No,Unstated,124g,4.38 oz,No,No,No,No,No,Yes,No,No,No,None,1,500,22,
Flower Moroccan Spiced Sardines,3.5,Olive Oil,Sardines,Sardina pilchardus,Morocco,Flower,Yes,No,"Spiced/Spicy Chili Pepper, Cucumber, Carrot",No,No,Unstated,124g,4.38 oz,No,No,No,No,Yes,No,No,No,No,None,1,500,22,
Groix & Nature Crab Rillettes,9.5,None,Crab,Cancer pagurus,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,230,9,
Groix & Nature Lobster Rillettes with Kari Gosse,15,Butter,"Lobster, Pollack, Scallop",Homarus gammarus,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,No,No,No,Yes,No,No,Yes,Yes,No,None,2,240,10,
Groix & Nature Salmon Rillettes,10,None,Salmon,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,180,8,
Groix & Nature Sardine Rillettes with Piment d'Espelette,9,Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Piment d'Espelette,NA,NA,NA,100g,3.5 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,170,7,
Groix & Nature Sardines in Extra Virgin Olive Oil,11.5,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,None,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,No,No,None,1,1000,?,
Groix & Nature Sardines with Lobster Oil,15.5,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,"Lobster, shallots, carrot, garlic",No,No,Unstated,115g,4 oz,No,No,No,Yes,No,No,No,No,No,None,2,35,?,
Groix & Nature Sardines with Seaweed Oil,15,Grapeseed Oil,Sardines,Sardina pilchardus,France,Groix & Nature,Yes,No,Seaweed,No,No,Unstated,115g,4 oz,No,No,No,No,No,No,No,Maybe,No,None,1.5,150,?,
Groix & Nature Scallop Rillettes,11.5,None,Scallop,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,230,9,
Groix & Nature Smoked Mackerel Rillettes,8.5,None,Mackerel,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,Yes,No,No,No,No,No,Yes,Yes,No,None,2,250,10,
Groix & Nature Trout Rillettes from Brittany,12,None,Trout,?,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5 oz,No,No,No,No,No,No,Yes,Yes,No,None,2,210,9,
Groix & Nature White Tuna Rillettes,10.5,None,"Tuna, Albacore",Thunnus alalunga,France,Groix & Nature,Yes,No,None,NA,NA,NA,100g,3.5oz,No,No,No,Yes,No,No,Yes,Yes,No,None,2,160,7,
Groix & Nature Seaweed Tartare with Capers and Pickles,10.5,Water/Vinegar,None,,France,Groix & Nature,Yes,No,Seaweed,NA,NA,NA,110g,3.5oz,No,No,No,Yes,No,No,No,No,No,None,,,,
Groix & Nature Lobster Oil,22,Grapeseed Oil,Lobster ,Hamarus gammarus,France,Groix & Nature,Yes,No,Lobster Oil,NA,NA,NA,100ml,3.38oz,No,No,No,Yes,No,No,No,No,No,None,7,0,,
Güeyu Mar Chargrilled Albacore Tuna Pâté,18,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68g,2.4 oz,No,Yes,No,No,No,No,No,No,No,None,3,500,22,
Güeyu Mar Chargrilled Bluefin Tuna Pâté,18,Extra Virgin Olive Oil,"Tuna, Bluefin",Thunnus thynnus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68g,2.4 oz,No, Yes,No,No,No,No,No,No,No,None,4,420,18,
Güeyu Mar Chargrilled Sardine Pâté,18,Extra Virgin Olive Oil,Sardines,Sardina pilchardus,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,68g,2.4oz,No,Yes,No,No,No,No,No,No,No,None,4,750,33,
Güeyu Mar Chargrilled Bonito del Norte (Bonito a la Brasa),20,Extra Virgin Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Güeyu Mar,Yes,No,None,NA,NA,NA,150g,5.3 oz,No,Yes,No,No,No,No,No,No,No,None,1,340,15,
Güeyu Mar Chargrilled Medium Mussels 14-16 (Mejillones a la Brasa),21,Extra Virgin Olive Oil,Mussels,Mytilus galloprovincialis,Spain,Güeyu Mar,Yes,No,Escabeche,NA,NA,14/16,150g,5.29 oz,No,Yes,No,No,No,No,No,No,No,None,1,510,22,
