date ,gear,crew ,temp_c,set_number,start_time ,end_time ,start_depth_ft,end_depth_ft,lat_start ,long_start,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,fin,maxillary,stomach,sex,killed,age_est,comments,Code ,Colour 
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,13,09:15,11:00,100,75,45.79905,-74.75550,45.79945,-74.75510,East Basin,lt,07060,369,330,158,362,yes,yes,yes,,,,,,
12-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,35,08:39,10:56,110,,45.79906,-74.75554,45.79943,-74.75513,East Basin,lt,07085,377,339,176,420,yes,yes,yes,,,,,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,12,08:45,10:15,70,40,45.81083,-74.75457,45.81129,-74.75408,East Basin,lt,07055,385,360,164,428,yes,yes,yes,,,,caddis fly larvea: stomach contents split for SIA and ID,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,24,08:15,10:45,76,,45.80650,-74.75636,45.80631,-74.75626,East Basin,lt,12410,388,357,165,442,yes,yes,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,41,08:31,10:14,63,42,45.79948,-74.75459,45.79988,-74.75437,East Basin,lt,07149,411,369,168,470,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,27,11:45,13:40,65,71,45.80602,-74.76522,45.80668,-74.75650,East Basin,lt,12424,425,373,170,573,no,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,51,08:16,11:00,63,72,45.79733,-74.75366,45.79782,-74.75423,East Basin,lt,12,447,403,180,650,yes,yes,yes,f,x,,otliths taken dead fish,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,15,10:30,12:00,25,35,45.80813,-74.76917,,,East Basin,lt,05577,465,430,200,720,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,26,11:40,13:00,39,60,45.80535,-74.75584,45.80595,-74.75613,East Basin,lt,12416,465,420,205,777,no,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,23,07:59,09:37,46,53,45.80583,-74.75606,45.80631,-74.73626,East Basin,lt,9,466,427,215,,yes,yes,yes,f,x,,no weight ,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,39,07:55,09:30,42,,45.80509,-74.75610,45.80523,-74.75614,East Basin,lt,10,470,429,230,802,yes,yes,yes,f,x,,otolith taken and whole stomachs taken,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,28,12:03,14:06,42,40,45.80831,-74.76902,45.80816,-74.76871,East Basin,lt,12420,473,430,208,865,no,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,28,12:03,14:06,42,40,45.80831,-74.76902,45.80816,-74.76871,East Basin,lt,12422,474,426,209,876,no,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,23,07:59,09:37,46,53,45.80583,-74.75606,45.80631,-74.73626,East Basin,lt,12408,476,432,180,600,yes,yes,yes,,,,,,
14-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",10,52,10:31,11:50,40,,45.80548,-74.75588,45.80602,-74.75613,East Basin,lt,07128,476,429,184,784,yes,no,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,40,08:02,10:00,80,,45.80604,-74.75643,,,East Basin,lt,07081,480,440,198,820,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,26,11:40,13:00,39,60,45.80535,-74.75584,45.80595,-74.75613,East Basin,lt,12413,485,445,210,890,yes,yes,yes,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,26,11:40,13:00,39,60,45.80535,-74.75584,45.80595,-74.75613,East Basin,lt,12415,486,439,235,960,no,yes,yes,,,,,,
5-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",6.9,12,08:45,10:15,70,40,45.81083,-74.75457,45.81129,-74.75408,East Basin,lt,07056,490,444,215,940,yes,yes,yes,,,,,,
